Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
NEMAHA CO.,NEMAHA CO.,NE,05/08/1995,19:30,CST,Tornado,F2,0,0,450.00K,0.00K
Cantrall,LOGAN CO.,IL,05/09/1995,16:22,CST,Tornado,F3,0,6,10.000M,0.00K
Rapids City,ROCK ISLAND AND WHITESID...,IL,05/09/1995,16:26,CST,Tornado,F3,0,0,200.00K,0.00K
Albany,CARROLL CO.,IL,5/9/1995,17:01,CST,Tornado,F3,0,0,2.000M,0.00K
Neponset,BUREAU CO.,IL,05/09/1995,17:01,CST,Tornado,F3,0,0,3.000M,0.00K
Cedar Bluff,CEDAR CO.,IA,05/09/1995,15:11,CST,Tornado,F2,0,0,500.00K,0.00K
Stockton,SCOTT CO.,IA,05/09/1995,15:29,CST,Tornado,F3,0,0,3.000M,0.00K
Stockton to,MUSCATINE CO.,IA,05/09/1995,15:55,CST,Tornado,F3,0,0,650.00K,0.00K
Niota,"HANCOCK, HENDERSON AND W...",IL,05/13/1995,15:18,CST,Tornado,F4,0,7,10.000M,0.00K
St Augustine,KNOX CO.,IL,05/13/1995,16:18,CST,Tornado,F2,0,2,1.600M,0.00K
Ipava to,FULTON CO.,IL,05/13/1995,16:55,CST,Tornado,F4,0,45,6.000M,0.00K
Tremont,TAZEWELL CO.,IL,05/13/1995,17:15,CST,Tornado,F3,0,25,4.000M,0.00K
Crawfordsville,MONTGOMERY CO.,IN,05/13/1995,23:58,EST,Tornado,F2,3,5,3.500M,0.00K
Arbela to,CLARK CO.,MO,05/13/1995,14:20,CST,Tornado,F2,0,3,630.00K,0.00K
Lebanon,BOONE CO.,IN,05/14/1995,0:08,EST,Tornado,F2,0,5,2.000M,0.00K
Indianapolis,MARION CO.,IN,05/14/1995,0:47,EST,Tornado,F2,0,0,400.00K,0.00K
Nevada,VERNON CO.,MO,05/17/1995,8:34,CST,Tornado,F3,0,9,7.000M,0.00K
Monroe City to,MONROE CO.,IL,05/18/1995,11:40,CST,Tornado,F2,0,0,75.00K,0.00K
Burksville to,MONROE CO.,IL,05/18/1995,11:46,CST,Tornado,F2,0,0,110.00K,0.00K
Festus to,STE. GENEVIEVE CO.,MO,05/18/1995,11:05,CST,Tornado,F2,0,3,195.00K,0.00K
MADRID-ELSIE,PERKINS CO.,NE,5/21/1995,16:33,CST,Tornado,F2,0,0,350.00K,0.00K
Carroll to,"CARROLL, SAC, CALHOUN AN...",IA,05/27/1995,18:22,CST,Tornado,F4,0,0,3.000M,43.00K
Creston to,"UNION, ADAIR, GUTHRIE AN...",IA,05/27/1995,18:55,CST,Tornado,F4,0,2,3.000M,80.00K
Bayard,"GUTHRIE, GREENE AND CARR...",IA,05/27/1995,18:56,CST,Tornado,F4,0,1,2.000M,22.00K
Dedham to,CARROLL CO.,IA,05/27/1995,19:28,CST,Tornado,F2,0,0,300.00K,6.00K
Lamoni to,DECATUR AND CLARKE CO.,IA,05/27/1995,21:04,CST,Tornado,F3,0,0,200.00K,12.00K
Moberly,RANDOLPH CO.,MO,07/04/1995,17:40,CST,Tornado,F3,0,0,400.00K,0.00K
Alger,ARENAC CO.,MI,07/13/1995,16:15,EDT,Tornado,F2,0,0,0.00K,0.00K
Long Siding,MILLE LACS CO.,MN,07/21/1995,18:04,CST,Tornado,F2,0,0,0.00K,0.00K
Lamont to,BUCHANAN AND DELAWARE CO.,IA,07/27/1995,14:50,CST,Tornado,F3,0,0,1.000M,330.00K
Elwood to,CLINTON CO.,IA,07/27/1995,16:28,CST,Tornado,F2,0,0,200.00K,150.00K
Dixon to,SCOTT CO.,IA,07/27/1995,16:42,CST,Tornado,F2,0,0,10.00K,70.00K
Atalissa to,CEDAR CO.,IA,07/27/1995,18:51,CST,Tornado,F2,0,0,500.00K,60.00K
Adams,MOWER CO.,MN,07/27/1995,10:50,CST,Tornado,F2,0,0,0.00K,5.000M
Lebanon to,LACLEDE CO.,MO,11/10/1995,16:50,CST,Tornado,F2,0,0,3.000M,0.00K
BATH,MASON CO.,IL,04/19/1996,17:07,CST,Tornado,F2,0,1,0.00K,0.00K
JACKSONVILLE,MORGAN CO.,IL,04/19/1996,17:18,CST,Tornado,F2,0,1,400.00K,0.00K
BISHOP HILL,HENRY CO.,IL,04/19/1996,18:00,CST,Tornado,F3,0,4,10.000M,0.00K
ARMINGTON,TAZEWELL CO.,IL,04/19/1996,18:00,CST,Tornado,F2,0,0,1.000M,0.00K
MC LEAN,MCLEAN CO.,IL,04/19/1996,18:09,CST,Tornado,F3,0,0,1.000M,0.00K
NIANTIC,MACON CO.,IL,04/19/1996,18:22,CST,Tornado,F3,0,29,9.000M,0.00K
ODIN,MARION CO.,IL,04/19/1996,18:35,CST,Tornado,F2,0,7,7.000M,0.00K
SAVOY,CHAMPAIGN CO.,IL,04/19/1996,19:34,CST,Tornado,F3,0,12,9.000M,0.00K
OGDEN,CHAMPAIGN CO.,IL,04/19/1996,19:55,CST,Tornado,F3,1,13,0.00K,0.00K
INA,JEFFERSON CO.,IL,04/19/1996,20:15,CST,Tornado,F3,0,0,200.00K,0.00K
PIOPOLIS,HAMILTON CO.,IL,04/19/1996,20:18,CST,Tornado,F3,0,0,2.800M,0.00K
BARNHILL,WAYNE CO.,IL,04/19/1996,20:28,CST,Tornado,F3,0,0,200.00K,0.00K
ZION,LAKE CO.,IL,04/19/1996,22:32,CST,Tornado,F2,0,2,6.600M,0.00K
YANKEETOWN,WARRICK CO.,IN,04/19/1996,22:40,CST,Tornado,F2,0,0,500.00K,0.00K
ARTHUR,PIKE CO.,IN,4/19/1996,22:42,CST,Tornado,F2,0,0,200.00K,0.00K
PERRYVILLE,PERRY CO.,MO,04/19/1996,20:30,CST,Tornado,F3,0,0,5.000M,0.00K
DONIPHAN,RIPLEY CO.,MO,04/19/1996,21:00,CST,Tornado,F2,0,0,100.00K,0.00K
POPLAR BLUFF,BUTLER CO.,MO,04/19/1996,21:05,CST,Tornado,F2,0,0,300.00K,0.00K
GREENVILLE,FLOYD CO.,IN,4/20/1996,1:08,EST,Tornado,F2,0,1,250.00K,0.00K
SEYMOUR,JACKSON CO.,IN,5/8/1996,15:55,EST,Tornado,F2,0,0,1.300M,0.00K
BEATRICE,GAGE CO.,NE,5/8/1996,19:44,CST,Tornado,F2,0,15,12.000M,0.00K
CLINTON,BIG STONE CO.,MN,05/17/1996,17:05,CST,Tornado,F3,0,0,1.500M,0.00K
LEAVENWORTH,HARRISON CO.,IN,5/28/1996,16:55,EST,Tornado,F2,0,0,0.00K,0.00K
ABERDEEN,BROWN CO.,SD,05/31/1996,16:52,CST,Tornado,F3,0,1,750.00K,0.00K
AMHERST,MARSHALL CO.,SD,05/31/1996,17:40,CST,Tornado,F3,0,0,0.00K,0.00K
HITTERDAL,CLAY CO.,MN,06/05/1996,16:05,CST,Tornado,F2,0,0,250.00K,50.00K
O NEILL,HOLT CO.,NE,6/19/1996,13:28,CST,Tornado,F2,0,0,1.000M,0.00K
FRANKENMUTH,SAGINAW CO.,MI,06/21/1996,22:02,EST,Tornado,F3,0,0,5.000M,0.00K
YALE,ST. CLAIR CO.,MI,06/22/1996,0:00,EST,Tornado,F2,0,0,25.00K,0.00K
PIERPONT,DAY CO.,SD,07/17/1996,18:52,CST,Tornado,F2,0,0,200.00K,0.00K
INDIANOLA,RED WILLOW CO.,NE,08/10/1996,19:25,CST,Tornado,F2,0,0,750.00K,0.00K
ALEXANDRIA,DOUGLAS CO.,MN,10/26/1996,15:15,CST,Tornado,F2,0,4,0.00K,0.00K
HENNING,OTTER TAIL CO.,MN,10/26/1996,16:10,CST,Tornado,F2,0,1,400.00K,0.00K
ALBANY,STEARNS CO.,MN,10/26/1996,16:17,CST,Tornado,F2,0,3,0.00K,0.00K
SEBEKA,WADENA CO.,MN,10/26/1996,16:30,CST,Tornado,F2,0,0,750.00K,0.00K
BRAINERD,CROW WING CO.,MN,10/26/1996,18:00,CST,Tornado,F2,0,0,50.00K,0.00K
LINDENHURST,LAKE CO.,IL,05/18/1997,18:18,CST,Tornado,F2,0,0,0.00K,0.00K
GREENBUSH,ROSEAU CO.,MN,06/27/1997,15:35,CST,Tornado,F2,0,1,250.00K,0.00K
HOWARD LAKE,WRIGHT CO.,MN,07/01/1997,17:43,CST,Tornado,F3,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/1997,18:10,CST,Tornado,F2,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/1997,18:10,CST,Tornado,F2,0,0,0.00K,0.00K
ANDERSON,MADISON CO.,IN,07/02/1997,15:40,EST,Tornado,F2,0,0,600.00K,10.00K
CLIO,GENESEE CO.,MI,07/02/1997,15:30,EST,Tornado,F3,0,0,600.00K,0.00K
